,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,created_at,category,quantity_available,quantity_on_hand,quantity_reserved,reorder_point,optimal_stock_level,average_daily_usage,stock_status,anio,mes,dia_semana,fin_de_semana
49,49.0,49.0,49.0,49.0,49.0,PROD-001,2024-08-19,2,4,6,2,32,56,0.43,3,2024.0,8.0,0,0
50,50.0,50.0,50.0,50.0,50.0,PROD-001,2024-08-20,2,6,6,0,22,29,0.43,3,2024.0,8.0,1,0
51,51.0,51.0,51.0,51.0,51.0,PROD-001,2024-08-21,2,5,6,1,41,59,0.43,3,2024.0,8.0,2,0
52,52.0,52.0,52.0,52.0,52.0,PROD-001,2024-08-22,2,4,6,2,27,52,0.43,3,2024.0,8.0,3,0
53,53.0,53.0,53.0,53.0,53.0,PROD-001,2024-08-23,2,5,6,1,37,51,0.43,3,2024.0,8.0,4,0
54,54.0,54.0,54.0,54.0,54.0,PROD-001,2024-08-24,2,4,6,2,27,37,0.0,3,2024.0,8.0,5,1
55,55.0,55.0,55.0,55.0,55.0,PROD-001,2024-08-25,2,5,6,1,15,35,0.0,4,2024.0,8.0,6,1
56,56.0,56.0,56.0,56.0,56.0,PROD-001,2024-08-26,2,5,6,1,38,65,0.0,3,2024.0,8.0,0,0
57,57.0,57.0,57.0,57.0,57.0,PROD-001,2024-08-27,2,6,6,0,32,62,0.0,3,2024.0,8.0,1,0
58,58.0,58.0,58.0,58.0,58.0,PROD-001,2024-08-28,2,5,6,1,33,70,0.0,3,2024.0,8.0,2,0
59,59.0,59.0,59.0,59.0,59.0,PROD-001,2024-08-29,2,4,6,2,41,49,0.0,3,2024.0,8.0,3,0
60,60.0,60.0,60.0,60.0,60.0,PROD-001,2024-08-30,2,4,6,2,32,56,0.0,3,2024.0,8.0,4,0
61,61.0,61.0,61.0,61.0,61.0,PROD-001,2024-08-31,2,6,6,0,29,50,0.0,3,2024.0,8.0,5,1
62,62.0,62.0,62.0,62.0,62.0,PROD-001,2024-09-01,2,5,6,1,33,49,0.0,3,2024.0,9.0,6,1
63,63.0,63.0,63.0,63.0,63.0,PROD-001,2024-09-02,2,6,6,0,32,38,0.0,3,2024.0,9.0,0,0
64,64.0,64.0,64.0,64.0,64.0,PROD-001,2024-09-03,2,5,6,1,21,51,0.0,3,2024.0,9.0,1,0
65,65.0,65.0,65.0,65.0,65.0,PROD-001,2024-09-04,2,6,6,0,30,63,0.0,3,2024.0,9.0,2,0
66,66.0,66.0,66.0,66.0,66.0,PROD-001,2024-09-05,2,5,6,1,34,74,0.0,3,2024.0,9.0,3,0
67,67.0,67.0,67.0,67.0,67.0,PROD-001,2024-09-06,2,5,6,1,40,80,0.0,3,2024.0,9.0,4,0
68,68.0,68.0,68.0,68.0,68.0,PROD-001,2024-09-07,2,6,6,0,14,34,0.0,3,2024.0,9.0,5,1
69,69.0,69.0,69.0,69.0,69.0,PROD-001,2024-09-08,2,1,1,0,33,44,0.71,3,2024.0,9.0,6,1
70,70.0,70.0,70.0,70.0,70.0,PROD-001,2024-09-09,2,1,1,0,22,56,0.71,3,2024.0,9.0,0,0
71,71.0,71.0,71.0,71.0,71.0,PROD-001,2024-09-10,2,5,5,0,15,26,1.29,3,2024.0,9.0,1,0
72,72.0,72.0,72.0,72.0,72.0,PROD-001,2024-09-11,2,4,5,1,27,40,1.29,3,2024.0,9.0,2,0
73,73.0,73.0,73.0,73.0,73.0,PROD-001,2024-09-12,2,4,5,1,43,55,1.29,3,2024.0,9.0,3,0
74,74.0,74.0,74.0,74.0,74.0,PROD-001,2024-09-13,2,4,5,1,19,24,1.29,3,2024.0,9.0,4,0
75,75.0,75.0,75.0,75.0,75.0,PROD-001,2024-09-14,2,5,5,0,16,24,1.29,3,2024.0,9.0,5,1
76,76.0,76.0,76.0,76.0,76.0,PROD-001,2024-09-15,2,5,5,0,25,44,0.57,3,2024.0,9.0,6,1
77,77.0,77.0,77.0,77.0,77.0,PROD-001,2024-09-16,2,4,5,1,27,40,0.57,3,2024.0,9.0,0,0
78,78.0,78.0,78.0,78.0,78.0,PROD-001,2024-09-17,2,4,5,1,36,53,0.0,3,2024.0,9.0,1,0
79,79.0,79.0,79.0,79.0,79.0,PROD-001,2024-09-18,2,1,1,0,39,69,0.57,3,2024.0,9.0,2,0
80,80.0,80.0,80.0,80.0,80.0,PROD-001,2024-09-19,2,1,1,0,42,70,0.57,3,2024.0,9.0,3,0
81,81.0,81.0,81.0,81.0,81.0,PROD-001,2024-09-20,2,1,1,0,25,35,0.57,3,2024.0,9.0,4,0
82,82.0,82.0,82.0,82.0,82.0,PROD-001,2024-09-21,2,1,1,0,19,40,0.57,3,2024.0,9.0,5,1
83,83.0,83.0,83.0,83.0,83.0,PROD-001,2024-09-22,2,1,1,0,28,37,0.57,3,2024.0,9.0,6,1
84,84.0,84.0,84.0,84.0,84.0,PROD-001,2024-09-23,2,1,1,0,40,46,0.57,3,2024.0,9.0,0,0
85,85.0,85.0,85.0,85.0,85.0,PROD-001,2024-09-24,2,1,1,0,39,48,0.57,3,2024.0,9.0,1,0
86,86.0,86.0,86.0,86.0,86.0,PROD-001,2024-09-25,2,11,11,0,41,58,1.43,3,2024.0,9.0,2,0
87,87.0,87.0,87.0,87.0,87.0,PROD-001,2024-09-26,2,11,11,0,45,78,1.43,3,2024.0,9.0,3,0
88,88.0,88.0,88.0,88.0,88.0,PROD-001,2024-09-27,2,8,11,3,31,44,1.43,3,2024.0,9.0,4,0
89,89.0,89.0,89.0,89.0,89.0,PROD-001,2024-09-28,2,8,11,3,33,43,1.43,3,2024.0,9.0,5,1
90,90.0,90.0,90.0,90.0,90.0,PROD-001,2024-09-29,2,10,11,1,30,56,1.43,4,2024.0,9.0,6,1
91,91.0,91.0,91.0,91.0,91.0,PROD-001,2024-09-30,2,10,11,1,38,50,1.43,3,2024.0,9.0,0,0
92,92.0,92.0,92.0,92.0,92.0,PROD-001,2024-10-01,2,9,11,2,28,35,1.43,4,2024.0,10.0,1,0
93,93.0,93.0,93.0,93.0,93.0,PROD-001,2024-10-02,2,11,11,0,20,54,0.0,3,2024.0,10.0,2,0
94,94.0,94.0,94.0,94.0,94.0,PROD-001,2024-10-03,2,11,11,0,25,33,0.0,3,2024.0,10.0,3,0
95,95.0,95.0,95.0,95.0,95.0,PROD-001,2024-10-04,2,9,11,2,16,31,0.0,4,2024.0,10.0,4,0
96,96.0,96.0,96.0,96.0,96.0,PROD-001,2024-10-05,2,8,11,3,24,56,0.0,4,2024.0,10.0,5,1
97,97.0,97.0,97.0,97.0,97.0,PROD-001,2024-10-06,2,8,11,3,18,48,0.0,4,2024.0,10.0,6,1
98,98.0,98.0,98.0,98.0,98.0,PROD-001,2024-10-07,2,9,11,2,36,72,0.0,3,2024.0,10.0,0,0
99,99.0,99.0,99.0,99.0,99.0,PROD-001,2024-10-08,2,11,11,0,18,24,0.0,4,2024.0,10.0,1,0
100,100.0,100.0,100.0,100.0,100.0,PROD-001,2024-10-09,2,11,11,0,44,73,0.0,3,2024.0,10.0,2,0
101,101.0,101.0,101.0,101.0,101.0,PROD-001,2024-10-10,2,8,11,3,44,76,0.0,3,2024.0,10.0,3,0
102,102.0,102.0,102.0,102.0,102.0,PROD-001,2024-10-11,2,10,11,1,31,47,0.0,3,2024.0,10.0,4,0
103,103.0,103.0,103.0,103.0,103.0,PROD-001,2024-10-12,2,9,11,2,31,58,0.0,3,2024.0,10.0,5,1
104,104.0,104.0,104.0,104.0,104.0,PROD-001,2024-10-13,2,9,11,2,35,53,0.0,3,2024.0,10.0,6,1
105,105.0,105.0,105.0,105.0,105.0,PROD-001,2024-10-14,2,8,11,3,37,53,0.0,3,2024.0,10.0,0,0
106,106.0,106.0,106.0,106.0,106.0,PROD-001,2024-10-15,2,9,11,2,47,69,0.0,3,2024.0,10.0,1,0
107,107.0,107.0,107.0,107.0,107.0,PROD-001,2024-10-16,2,11,11,0,26,48,0.0,4,2024.0,10.0,2,0
108,108.0,108.0,108.0,108.0,108.0,PROD-001,2024-10-17,2,8,11,3,34,67,0.0,3,2024.0,10.0,3,0
109,109.0,109.0,109.0,109.0,109.0,PROD-001,2024-10-18,2,11,11,0,29,43,0.0,3,2024.0,10.0,4,0
110,110.0,110.0,110.0,110.0,110.0,PROD-001,2024-10-19,2,10,11,1,30,37,0.0,3,2024.0,10.0,5,1
111,111.0,111.0,111.0,111.0,111.0,PROD-001,2024-10-20,2,9,11,2,31,51,0.0,3,2024.0,10.0,6,1
112,112.0,112.0,112.0,112.0,112.0,PROD-001,2024-10-21,2,8,10,2,45,68,0.14,3,2024.0,10.0,0,0
113,113.0,113.0,113.0,113.0,113.0,PROD-001,2024-10-22,2,10,10,0,33,69,0.14,3,2024.0,10.0,1,0
114,114.0,114.0,114.0,114.0,114.0,PROD-001,2024-10-23,2,7,10,3,27,58,0.14,3,2024.0,10.0,2,0
115,115.0,115.0,115.0,115.0,115.0,PROD-001,2024-10-24,2,7,10,3,33,73,0.14,3,2024.0,10.0,3,0
116,116.0,116.0,116.0,116.0,116.0,PROD-001,2024-10-25,2,8,10,2,29,64,0.14,3,2024.0,10.0,4,0
117,117.0,117.0,117.0,117.0,117.0,PROD-001,2024-10-26,2,10,10,0,34,42,0.14,3,2024.0,10.0,5,1
118,118.0,118.0,118.0,118.0,118.0,PROD-001,2024-10-27,2,9,10,1,31,41,0.14,3,2024.0,10.0,6,1
119,119.0,119.0,119.0,119.0,119.0,PROD-001,2024-10-28,2,10,10,0,22,44,0.0,3,2024.0,10.0,0,0
120,120.0,120.0,120.0,120.0,120.0,PROD-001,2024-10-29,2,7,10,3,25,54,0.0,3,2024.0,10.0,1,0
121,121.0,121.0,121.0,121.0,121.0,PROD-001,2024-10-30,2,8,10,2,30,43,0.0,3,2024.0,10.0,2,0
122,122.0,122.0,122.0,122.0,122.0,PROD-001,2024-10-31,2,8,10,2,29,60,0.0,3,2024.0,10.0,3,0
123,123.0,123.0,123.0,123.0,123.0,PROD-001,2024-11-01,2,8,10,2,30,47,0.0,3,2024.0,11.0,4,0
124,124.0,124.0,124.0,124.0,124.0,PROD-001,2024-11-02,2,9,10,1,35,73,0.0,3,2024.0,11.0,5,1
125,125.0,125.0,125.0,125.0,125.0,PROD-001,2024-11-03,2,9,10,1,17,37,0.0,4,2024.0,11.0,6,1
126,126.0,126.0,126.0,126.0,126.0,PROD-001,2024-11-04,2,7,10,3,47,86,0.0,3,2024.0,11.0,0,0
127,127.0,127.0,127.0,127.0,127.0,PROD-001,2024-11-05,2,10,10,0,46,52,0.0,3,2024.0,11.0,1,0
128,128.0,128.0,128.0,128.0,128.0,PROD-001,2024-11-06,2,10,10,0,29,58,0.0,3,2024.0,11.0,2,0
129,129.0,129.0,129.0,129.0,129.0,PROD-001,2024-11-07,2,10,10,0,46,73,0.0,3,2024.0,11.0,3,0
130,130.0,130.0,130.0,130.0,130.0,PROD-001,2024-11-08,2,9,10,1,33,68,0.0,3,2024.0,11.0,4,0
131,131.0,131.0,131.0,131.0,131.0,PROD-001,2024-11-09,2,8,10,2,21,60,0.0,3,2024.0,11.0,5,1
132,132.0,132.0,132.0,132.0,132.0,PROD-001,2024-11-10,2,7,10,3,36,72,0.0,3,2024.0,11.0,6,1
133,133.0,133.0,133.0,133.0,133.0,PROD-001,2024-11-11,2,7,10,3,25,52,0.0,3,2024.0,11.0,0,0
134,134.0,134.0,134.0,134.0,134.0,PROD-001,2024-11-12,2,9,10,1,28,65,0.0,3,2024.0,11.0,1,0
135,135.0,135.0,135.0,135.0,135.0,PROD-001,2024-11-13,2,9,10,1,26,51,0.0,4,2024.0,11.0,2,0
136,136.0,136.0,136.0,136.0,136.0,PROD-001,2024-11-14,2,8,10,2,37,66,0.0,3,2024.0,11.0,3,0
137,137.0,137.0,137.0,137.0,137.0,PROD-001,2024-11-15,2,8,10,2,21,43,0.0,3,2024.0,11.0,4,0
138,138.0,138.0,138.0,138.0,138.0,PROD-001,2024-11-16,2,9,10,1,38,54,0.0,3,2024.0,11.0,5,1
139,139.0,139.0,139.0,139.0,139.0,PROD-001,2024-11-17,2,7,10,3,24,30,0.0,4,2024.0,11.0,6,1
140,140.0,140.0,140.0,140.0,140.0,PROD-001,2024-11-18,2,8,10,2,24,49,0.0,4,2024.0,11.0,0,0
141,141.0,141.0,141.0,141.0,141.0,PROD-001,2024-11-19,2,8,10,2,19,38,0.0,3,2024.0,11.0,1,0
142,142.0,142.0,142.0,142.0,142.0,PROD-001,2024-11-20,2,7,10,3,38,44,0.0,3,2024.0,11.0,2,0
143,143.0,143.0,143.0,143.0,143.0,PROD-001,2024-11-21,2,8,10,2,28,50,0.0,3,2024.0,11.0,3,0
144,144.0,144.0,144.0,144.0,144.0,PROD-001,2024-11-22,2,7,10,3,43,51,0.0,3,2024.0,11.0,4,0
145,145.0,145.0,145.0,145.0,145.0,PROD-001,2024-11-23,2,10,10,0,37,72,0.0,3,2024.0,11.0,5,1
146,146.0,146.0,146.0,146.0,146.0,PROD-001,2024-11-24,2,8,10,2,29,67,0.0,3,2024.0,11.0,6,1
147,147.0,147.0,147.0,147.0,147.0,PROD-001,2024-11-25,2,8,10,2,31,58,0.0,3,2024.0,11.0,0,0
148,148.0,148.0,148.0,148.0,148.0,PROD-001,2024-11-26,2,10,10,0,29,48,0.0,4,2024.0,11.0,1,0
149,149.0,149.0,149.0,149.0,149.0,PROD-001,2024-11-27,2,7,10,3,29,44,0.0,3,2024.0,11.0,2,0
150,150.0,150.0,150.0,150.0,150.0,PROD-001,2024-11-28,2,8,10,2,35,46,0.0,3,2024.0,11.0,3,0
151,151.0,151.0,151.0,151.0,151.0,PROD-001,2024-11-29,2,10,10,0,30,50,0.0,3,2024.0,11.0,4,0
152,152.0,152.0,152.0,152.0,152.0,PROD-001,2024-11-30,2,7,10,3,36,56,0.0,3,2024.0,11.0,5,1
153,153.0,153.0,153.0,153.0,153.0,PROD-001,2024-12-01,2,8,10,2,43,65,0.0,3,2024.0,12.0,6,1
154,154.0,154.0,154.0,154.0,154.0,PROD-001,2024-12-02,2,9,10,1,22,61,0.0,3,2024.0,12.0,0,0
155,155.0,155.0,155.0,155.0,155.0,PROD-001,2024-12-03,2,10,10,0,27,35,0.0,3,2024.0,12.0,1,0
156,156.0,156.0,156.0,156.0,156.0,PROD-001,2024-12-04,2,7,10,3,27,46,0.0,3,2024.0,12.0,2,0
157,157.0,157.0,157.0,157.0,157.0,PROD-001,2024-12-05,2,9,10,1,37,66,0.0,3,2024.0,12.0,3,0
158,158.0,158.0,158.0,158.0,158.0,PROD-001,2024-12-06,2,7,10,3,40,67,0.0,3,2024.0,12.0,4,0
159,159.0,159.0,159.0,159.0,159.0,PROD-001,2024-12-07,2,9,10,1,21,37,0.0,3,2024.0,12.0,5,1
160,160.0,160.0,160.0,160.0,160.0,PROD-001,2024-12-08,2,0,0,0,26,42,1.43,2,2024.0,12.0,6,1
161,161.0,161.0,161.0,161.0,161.0,PROD-001,2024-12-09,2,0,0,0,41,61,1.43,2,2024.0,12.0,0,0
162,162.0,162.0,162.0,162.0,162.0,PROD-001,2024-12-10,2,0,0,0,34,59,1.43,2,2024.0,12.0,1,0
163,163.0,163.0,163.0,163.0,163.0,PROD-001,2024-12-11,2,0,0,0,38,65,1.43,2,2024.0,12.0,2,0
164,164.0,164.0,164.0,164.0,164.0,PROD-001,2024-12-12,2,0,0,0,44,50,1.43,2,2024.0,12.0,3,0
165,165.0,165.0,165.0,165.0,165.0,PROD-001,2024-12-13,2,0,0,0,48,75,1.43,2,2024.0,12.0,4,0
166,166.0,166.0,166.0,166.0,166.0,PROD-001,2024-12-14,2,0,0,0,28,42,1.43,2,2024.0,12.0,5,1
167,167.0,167.0,167.0,167.0,167.0,PROD-001,2024-12-15,2,0,0,0,27,44,0.0,2,2024.0,12.0,6,1
168,168.0,168.0,168.0,168.0,168.0,PROD-001,2024-12-16,2,0,0,0,23,59,0.0,2,2024.0,12.0,0,0
169,169.0,169.0,169.0,169.0,169.0,PROD-001,2024-12-17,2,0,0,0,44,83,0.0,2,2024.0,12.0,1,0
170,170.0,170.0,170.0,170.0,170.0,PROD-001,2024-12-18,2,0,0,0,36,60,0.0,2,2024.0,12.0,2,0
171,171.0,171.0,171.0,171.0,171.0,PROD-001,2024-12-19,2,0,0,0,35,51,0.0,2,2024.0,12.0,3,0
172,172.0,172.0,172.0,172.0,172.0,PROD-001,2024-12-20,2,0,0,0,21,57,0.0,2,2024.0,12.0,4,0
173,173.0,173.0,173.0,173.0,173.0,PROD-001,2024-12-21,2,12,12,0,27,34,1.71,4,2024.0,12.0,5,1
174,174.0,174.0,174.0,174.0,174.0,PROD-001,2024-12-22,2,11,12,1,36,46,1.71,3,2024.0,12.0,6,1
175,175.0,175.0,175.0,175.0,175.0,PROD-001,2024-12-23,2,8,12,4,34,42,1.71,3,2024.0,12.0,0,0
176,176.0,176.0,176.0,176.0,176.0,PROD-001,2024-12-24,2,11,12,1,34,53,1.71,3,2024.0,12.0,1,0
177,177.0,177.0,177.0,177.0,177.0,PROD-001,2024-12-25,2,8,12,4,16,35,1.71,4,2024.0,12.0,2,0
178,178.0,178.0,178.0,178.0,178.0,PROD-001,2024-12-26,2,10,12,2,41,47,1.71,3,2024.0,12.0,3,0
179,179.0,179.0,179.0,179.0,179.0,PROD-001,2024-12-27,2,9,12,3,38,76,1.71,3,2024.0,12.0,4,0
180,180.0,180.0,180.0,180.0,180.0,PROD-001,2024-12-28,2,8,12,4,22,57,0.0,4,2024.0,12.0,5,1
181,181.0,181.0,181.0,181.0,181.0,PROD-001,2024-12-29,2,9,12,3,28,33,0.0,3,2024.0,12.0,6,1
182,182.0,182.0,182.0,182.0,182.0,PROD-001,2024-12-30,2,10,12,2,25,51,0.0,4,2024.0,12.0,0,0
183,183.0,183.0,183.0,183.0,183.0,PROD-001,2024-12-31,2,11,12,1,15,32,0.0,4,2024.0,12.0,1,0
184,184.0,184.0,184.0,184.0,184.0,PROD-001,2025-01-01,2,9,12,3,38,51,0.0,3,2025.0,1.0,2,0
185,185.0,185.0,185.0,185.0,185.0,PROD-001,2025-01-02,2,8,12,4,17,43,0.0,4,2025.0,1.0,3,0
186,186.0,186.0,186.0,186.0,186.0,PROD-001,2025-01-03,2,10,12,2,45,61,0.0,3,2025.0,1.0,4,0
187,187.0,187.0,187.0,187.0,187.0,PROD-001,2025-01-04,2,8,12,4,23,48,0.0,4,2025.0,1.0,5,1
188,188.0,188.0,188.0,188.0,188.0,PROD-001,2025-01-05,2,10,12,2,28,36,0.0,3,2025.0,1.0,6,1
189,189.0,189.0,189.0,189.0,189.0,PROD-001,2025-01-06,2,10,12,2,18,24,0.0,4,2025.0,1.0,0,0
190,190.0,190.0,190.0,190.0,190.0,PROD-001,2025-01-07,2,8,12,4,36,50,0.0,3,2025.0,1.0,1,0
191,191.0,191.0,191.0,191.0,191.0,PROD-001,2025-01-08,2,8,11,3,23,37,0.14,3,2025.0,1.0,2,0
192,192.0,192.0,192.0,192.0,192.0,PROD-001,2025-01-09,2,10,11,1,13,25,0.14,4,2025.0,1.0,3,0
193,193.0,193.0,193.0,193.0,193.0,PROD-001,2025-01-10,2,10,11,1,43,81,0.14,3,2025.0,1.0,4,0
194,194.0,194.0,194.0,194.0,194.0,PROD-001,2025-01-11,2,9,11,2,22,50,0.14,4,2025.0,1.0,5,1
195,195.0,195.0,195.0,195.0,195.0,PROD-001,2025-01-12,2,9,11,2,15,24,0.14,4,2025.0,1.0,6,1
196,196.0,196.0,196.0,196.0,196.0,PROD-001,2025-01-13,2,10,11,1,26,54,0.14,4,2025.0,1.0,0,0
197,197.0,197.0,197.0,197.0,197.0,PROD-001,2025-01-14,2,9,11,2,35,65,0.14,3,2025.0,1.0,1,0
198,198.0,198.0,198.0,198.0,198.0,PROD-001,2025-01-15,2,9,11,2,33,44,0.0,3,2025.0,1.0,2,0
199,199.0,199.0,199.0,199.0,199.0,PROD-001,2025-01-16,2,10,11,1,29,55,0.0,3,2025.0,1.0,3,0
200,200.0,200.0,200.0,200.0,200.0,PROD-001,2025-01-17,2,8,11,3,14,38,0.0,4,2025.0,1.0,4,0
201,201.0,201.0,201.0,201.0,201.0,PROD-001,2025-01-18,2,9,11,2,33,58,0.0,3,2025.0,1.0,5,1
202,202.0,202.0,202.0,202.0,202.0,PROD-001,2025-01-19,2,8,11,3,43,56,0.0,3,2025.0,1.0,6,1
203,203.0,203.0,203.0,203.0,203.0,PROD-001,2025-01-20,2,9,11,2,32,47,0.0,3,2025.0,1.0,0,0
204,204.0,204.0,204.0,204.0,204.0,PROD-001,2025-01-21,2,9,11,2,37,69,0.0,3,2025.0,1.0,1,0
205,205.0,205.0,205.0,205.0,205.0,PROD-001,2025-01-22,2,9,11,2,29,65,0.0,3,2025.0,1.0,2,0
206,206.0,206.0,206.0,206.0,206.0,PROD-001,2025-01-23,2,11,11,0,35,60,0.0,3,2025.0,1.0,3,0
207,207.0,207.0,207.0,207.0,207.0,PROD-001,2025-01-24,2,8,11,3,32,48,0.0,3,2025.0,1.0,4,0
